lamA thr
7040.0 0.987
7050.0 0.987
7060.0 0.987
7070.0 0.987
7080.0 0.987
7090.0 0.987
7100.0 0.987
7110.0 0.987
7120.0 0.987
7130.0 0.987
7140.0 0.987
7150.0 0.987
7160.0 0.987
7170.0 0.987
7180.0 0.987
7190.0 0.987
7200.0 0.987
7210.0 0.987
7220.0 0.987
7230.0 0.987
7240.0 0.987
7250.0 0.987
7260.0 0.987
7270.0 0.987
7280.0 0.987
7290.0 0.987
7300.0 0.987
7310.0 0.987
7320.0 0.987
7330.0 0.987
7340.0 0.987
7350.0 0.987
7360.0 0.987
7370.0 0.987
7380.0 0.987
7390.0 0.987
7400.0 0.987
7410.0 0.987
7420.0 0.987
7430.0 0.987
7440.0 0.987
7450.0 0.987
7460.0 0.987
7470.0 0.987
7480.0 0.987
7490.0 0.987
7500.0 0.987
7510.0 0.987
7520.0 0.987
7530.0 0.987
7540.0 0.987
7550.0 0.987
7560.0 0.987
7570.0 0.987
7580.0 0.987
7590.0 0.987
7600.0 0.987
7610.0 0.987
7620.0 0.987
7630.0 0.987
7640.0 0.987
7650.0 0.987
7660.0 0.987
7670.0 0.987
7680.0 0.987
7690.0 0.987
7700.0 0.987
7710.0 0.987
7720.0 0.987
7730.0 0.987
7740.0 0.987
7750.0 0.987
7760.0 0.987
7770.0 0.987
7780.0 0.987
7790.0 0.987
7800.0 0.987
7810.0 0.987
7820.0 0.987
7830.0 0.987
7840.0 0.987
7850.0 0.987
7860.0 0.987
7870.0 0.987
7880.0 0.987
7890.0 0.987
7900.0 0.987
7910.0 0.987
7920.0 0.987
7930.0 0.987
7940.0 0.987
7950.0 0.987
7960.0 0.987
7970.0 0.987
7980.0 0.987
7990.0 0.987
8000.0 0.987
8010.0 0.987
8020.0 0.987
8030.0 0.987
8040.0 0.987
8050.0 0.987
8060.0 0.987
8070.0 0.987
8080.0 0.987
8090.0 0.987
8100.0 0.987
8110.0 0.987
8120.0 0.987
8130.0 0.987
8140.0 0.987
8150.0 0.987
8160.0 0.987
8170.0 0.987
8180.0 0.987
8190.0 0.987
8200.0 0.987
8210.0 0.987
8220.0 0.987
8230.0 0.987
8240.0 0.987
8250.0 0.987
8260.0 0.987
8270.0 0.987
8280.0 0.987
8290.0 0.987
8300.0 0.987
8310.0 0.987
8320.0 0.987
8330.0 0.987
8340.0 0.987
8350.0 0.987
8360.0 0.987
8370.0 0.987
8380.0 0.987
8390.0 0.987
8400.0 0.987
8410.0 0.987
8420.0 0.987
8430.0 0.987
8440.0 0.987
8450.0 0.987
8460.0 0.987
8470.0 0.987
8480.0 0.987
8490.0 0.987
8500.0 0.987
8510.0 0.987
8520.0 0.987
8530.0 0.987
8540.0 0.987
8550.0 0.987
8560.0 0.987
8570.0 0.987
8580.0 0.987
8590.0 0.987
8600.0 0.987
8610.0 0.987
8620.0 0.987
8630.0 0.987
8640.0 0.987
8650.0 0.987
8660.0 0.987
8670.0 0.987
8680.0 0.987
8690.0 0.987
8700.0 0.987
8710.0 0.987
8720.0 0.987
8730.0 0.987
8740.0 0.987
8750.0 0.987
8760.0 0.987
8770.0 0.987
8780.0 0.987
8790.0 0.987
8800.0 0.987
8810.0 0.987
8820.0 0.987
8830.0 0.987
8840.0 0.987
8850.0 0.987
8860.0 0.987
8870.0 0.987
8880.0 0.987
8890.0 0.987
8900.0 0.987
8910.0 0.987
8920.0 0.987
8930.0 0.987
8940.0 0.987
8950.0 0.987
8960.0 0.987
8970.0 0.987
8980.0 0.987
8990.0 0.987
9000.0 0.987
9010.0 0.987
9020.0 0.987
9030.0 0.987
9040.0 0.987
9050.0 0.987
9060.0 0.987
9070.0 0.987
9080.0 0.987
9090.0 0.987
9100.0 0.987
9110.0 0.987
9120.0 0.987
9130.0 0.987
9140.0 0.987
9150.0 0.987
9160.0 0.987
9170.0 0.987
9180.0 0.987
9190.0 0.987
9200.0 0.987
9210.0 0.987
9220.0 0.987
9230.0 0.987
9240.0 0.987
9250.0 0.987
9260.0 0.987
9270.0 0.987
9280.0 0.987
9290.0 0.987
9300.0 0.987
9310.0 0.987
9320.0 0.987
9330.0 0.987
9340.0 0.987
9350.0 0.987
9360.0 0.987
9370.0 0.987
9380.0 0.987
9390.0 0.987
9400.0 0.987
9410.0 0.987
9420.0 0.987
9430.0 0.987
9440.0 0.987
9450.0 0.987
9460.0 0.987
9470.0 0.987
9480.0 0.987
9490.0 0.987
9500.0 0.987
9510.0 0.987
9520.0 0.987
9530.0 0.987
9540.0 0.987
9550.0 0.987
9560.0 0.987
9570.0 0.987
9580.0 0.987
9590.0 0.987
9600.0 0.987
9610.0 0.987
9620.0 0.987
9630.0 0.987
9640.0 0.987
9650.0 0.987
9660.0 0.987
9670.0 0.987
9680.0 0.987
9690.0 0.987
9700.0 0.987
9710.0 0.987
9720.0 0.987
9730.0 0.987
9740.0 0.987
9750.0 0.987
9760.0 0.987
9770.0 0.987
9780.0 0.987
9790.0 0.987
9800.0 0.987
9810.0 0.987
9820.0 0.987
9830.0 0.987
9840.0 0.987
9850.0 0.987
9860.0 0.987
9870.0 0.987
9880.0 0.987
9890.0 0.987
9900.0 0.987
9910.0 0.987
9920.0 0.987
9930.0 0.987
9940.0 0.987
9950.0 0.987
9960.0 0.987
9970.0 0.987
9980.0 0.987
9990.0 0.987
10000.0 0.987
10010.0 0.987
10020.0 0.987
10030.0 0.987
10040.0 0.987
10050.0 0.987
10060.0 0.987
10070.0 0.987
10080.0 0.987
10090.0 0.987
10100.0 0.987
10110.0 0.987
10120.0 0.987
10130.0 0.987
10140.0 0.987
10150.0 0.987
10160.0 0.987
10170.0 0.987
10180.0 0.987
10190.0 0.987
10200.0 0.987
10210.0 0.987
10220.0 0.987
10230.0 0.987
10240.0 0.987
10250.0 0.987
10260.0 0.987
10270.0 0.987
10280.0 0.987
10290.0 0.987
10300.0 0.987
10310.0 0.987
10320.0 0.987
10330.0 0.987
10340.0 0.987
10350.0 0.987
10360.0 0.987
10370.0 0.987
10380.0 0.987
10390.0 0.987
10400.0 0.987
10410.0 0.987
10420.0 0.987
10430.0 0.987
10440.0 0.987
10450.0 0.987
10460.0 0.987
10470.0 0.987
10480.0 0.987
10490.0 0.987
10500.0 0.987
10510.0 0.987
10520.0 0.987
10530.0 0.987
10540.0 0.987
10550.0 0.987
10560.0 0.987
10570.0 0.987
10580.0 0.987
10590.0 0.987
10600.0 0.987
10610.0 0.987
10620.0 0.987
10630.0 0.987
10640.0 0.987
10650.0 0.987
10660.0 0.987
10670.0 0.987
10680.0 0.987
10690.0 0.987
10700.0 0.987
10710.0 0.987
10720.0 0.987
10730.0 0.987
10740.0 0.987
10750.0 0.987
10760.0 0.987
10770.0 0.987
10780.0 0.987
10790.0 0.987
10800.0 0.987
10810.0 0.987
10820.0 0.987
10830.0 0.987
10840.0 0.987
10850.0 0.987
10860.0 0.987
10870.0 0.987
10880.0 0.987
10890.0 0.987
10900.0 0.987
10910.0 0.987
10920.0 0.987
10930.0 0.987
10940.0 0.987
10950.0 0.987
10960.0 0.987
10970.0 0.987
10980.0 0.987
10990.0 0.987
11000.0 0.987
11010.0 0.987
11020.0 0.987
11030.0 0.987
11040.0 0.987
11050.0 0.987
11060.0 0.987
11070.0 0.987
11080.0 0.987
11090.0 0.987
11100.0 0.987
11110.0 0.987
11120.0 0.987
11130.0 0.987
11140.0 0.987
11150.0 0.987
11160.0 0.987
11170.0 0.987
11180.0 0.987
11190.0 0.987
11200.0 0.987
11210.0 0.987
11220.0 0.987
11230.0 0.987
11240.0 0.987
11250.0 0.987
11260.0 0.987
11270.0 0.987
11280.0 0.987
11290.0 0.987
11300.0 0.987
11310.0 0.987
11320.0 0.987
11330.0 0.987
11340.0 0.987
11350.0 0.987
11360.0 0.987
11370.0 0.987
11380.0 0.987
11390.0 0.987
11400.0 0.987
11410.0 0.987
11420.0 0.987
11430.0 0.987
11440.0 0.987
11450.0 0.987
11460.0 0.987
11470.0 0.987
11480.0 0.987
11490.0 0.987
11500.0 0.987
11510.0 0.987
11520.0 0.987
11530.0 0.987
11540.0 0.987
11550.0 0.987
11560.0 0.987
11570.0 0.987
11580.0 0.987
11590.0 0.987
11600.0 0.987
11610.0 0.987
11620.0 0.987
11630.0 0.987
11640.0 0.987
11650.0 0.987
11660.0 0.987
11670.0 0.987
11680.0 0.987
11690.0 0.987
11700.0 0.987
11710.0 0.987
11720.0 0.987
11730.0 0.987
11740.0 0.987
11750.0 0.987
11760.0 0.987
11770.0 0.987
11780.0 0.987
11790.0 0.987
11800.0 0.987
11810.0 0.987
11820.0 0.987
11830.0 0.987
11840.0 0.987
11850.0 0.987
11860.0 0.987
11870.0 0.987
11880.0 0.987
11890.0 0.987
11900.0 0.987
11910.0 0.987
11920.0 0.987
11930.0 0.987
11940.0 0.987
11950.0 0.987
11960.0 0.987
11970.0 0.987
11980.0 0.987
11990.0 0.987
12000.0 0.987
12010.0 0.987
12020.0 0.987
12030.0 0.987
12040.0 0.987
12050.0 0.987
12060.0 0.987
12070.0 0.987
12080.0 0.987
12090.0 0.987
12100.0 0.987
12110.0 0.987
12120.0 0.987
12130.0 0.987
12140.0 0.987
12150.0 0.987
12160.0 0.987
12170.0 0.987
12180.0 0.987
12190.0 0.987
12200.0 0.987
12210.0 0.987
12220.0 0.987
12230.0 0.987
12240.0 0.987
12250.0 0.987
12260.0 0.987
12270.0 0.987
12280.0 0.987
12290.0 0.987
12300.0 0.987
12310.0 0.987
12320.0 0.987
12330.0 0.987
12340.0 0.987
12350.0 0.987
12360.0 0.987
12370.0 0.987
12380.0 0.987
12390.0 0.987
12400.0 0.987
12410.0 0.987
12420.0 0.987
12430.0 0.987
12440.0 0.987
12450.0 0.987
12460.0 0.987
12470.0 0.987
12480.0 0.987
12490.0 0.987
12500.0 0.987
