wav,resol,
0.359633,1880.45,
0.369285,2007.52,
0.378936,2130.75,
0.389969,2242.44,
0.399164,2327.17,
0.412958,2427.33,
0.424913,2515.93,
0.436870,2577.58,
0.450207,2646.94,
0.466303,2735.57,
0.481938,2831.89,
0.496193,2928.20,
0.509068,3012.95,
0.521943,3105.40,
0.536200,3178.62,
0.549076,3247.98,
0.558735,3286.52,
