wav,thr,
370.755,0.434531,
380.437,0.559676,
393.098,0.698725,
409.484,0.780997,
424.379,0.825029,
433.317,0.851680,
460.874,0.840093,
478.749,0.768250,
489.176,0.704519,
504.072,0.604867,
517.478,0.504056,
