wav,resol,
0.539418,3205.58,
0.552755,3278.79,
0.567471,3359.71,
0.585405,3467.59,
0.603340,3567.77,
0.618976,3656.39,
0.635072,3745.01,
0.652546,3860.59,
0.666799,3972.29,
0.683813,4087.86,
0.699446,4207.28,
0.715540,4311.30,
0.739455,4434.61,
