wav,throughput,
400.931,72.5726,
401.953,76.1162,
402.988,80.3685,
403.933,83.8649,
404.968,85.5658,
405.977,84.2901,
406.934,80.8883,
407.956,76.1162,
408.996,71.3537,
409.943,66.6194,
410.968,62.3671,
411.984,58.6251,
412.947,55.6201,
413.956,53.6357,
414.988,52.3884,
