wav,thr,
731.231,0.499421,
743.148,0.602549,
761.768,0.717265,
777.408,0.786790,
792.304,0.828505,
813.903,0.860950,
822.095,0.863268,
836.991,0.853998,
860.079,0.813441,
874.975,0.754345,
891.360,0.682503,
909.235,0.600232,
923.386,0.499421,
