lamA thr
7040.0 0.97
7050.0 0.97
7060.0 0.97
7070.0 0.97
7080.0 0.97
7090.0 0.97
7100.0 0.97
7110.0 0.97
7120.0 0.97
7130.0 0.97
7140.0 0.97
7150.0 0.97
7160.0 0.97
7170.0 0.97
7180.0 0.97
7190.0 0.97
7200.0 0.97
7210.0 0.97
7220.0 0.97
7230.0 0.97
7240.0 0.97
7250.0 0.97
7260.0 0.97
7270.0 0.97
7280.0 0.97
7290.0 0.97
7300.0 0.97
7310.0 0.97
7320.0 0.97
7330.0 0.97
7340.0 0.97
7350.0 0.97
7360.0 0.97
7370.0 0.97
7380.0 0.97
7390.0 0.97
7400.0 0.97
7410.0 0.97
7420.0 0.97
7430.0 0.97
7440.0 0.97
7450.0 0.97
7460.0 0.97
7470.0 0.97
7480.0 0.97
7490.0 0.97
7500.0 0.97
7510.0 0.97
7520.0 0.97
7530.0 0.97
7540.0 0.97
7550.0 0.97
7560.0 0.97
7570.0 0.97
7580.0 0.97
7590.0 0.97
7600.0 0.97
7610.0 0.97
7620.0 0.97
7630.0 0.97
7640.0 0.97
7650.0 0.97
7660.0 0.97
7670.0 0.97
7680.0 0.97
7690.0 0.97
7700.0 0.97
7710.0 0.97
7720.0 0.97
7730.0 0.97
7740.0 0.97
7750.0 0.97
7760.0 0.97
7770.0 0.97
7780.0 0.97
7790.0 0.97
7800.0 0.97
7810.0 0.97
7820.0 0.97
7830.0 0.97
7840.0 0.97
7850.0 0.97
7860.0 0.97
7870.0 0.97
7880.0 0.97
7890.0 0.97
7900.0 0.97
7910.0 0.97
7920.0 0.97
7930.0 0.97
7940.0 0.97
7950.0 0.97
7960.0 0.97
7970.0 0.97
7980.0 0.97
7990.0 0.97
8000.0 0.97
8010.0 0.97
8020.0 0.97
8030.0 0.97
8040.0 0.97
8050.0 0.97
8060.0 0.97
8070.0 0.97
8080.0 0.97
8090.0 0.97
8100.0 0.97
8110.0 0.97
8120.0 0.97
8130.0 0.97
8140.0 0.97
8150.0 0.97
8160.0 0.97
8170.0 0.97
8180.0 0.97
8190.0 0.97
8200.0 0.97
8210.0 0.97
8220.0 0.97
8230.0 0.97
8240.0 0.97
8250.0 0.97
8260.0 0.97
8270.0 0.97
8280.0 0.97
8290.0 0.97
8300.0 0.97
8310.0 0.97
8320.0 0.97
8330.0 0.97
8340.0 0.97
8350.0 0.97
8360.0 0.97
8370.0 0.97
8380.0 0.97
8390.0 0.97
8400.0 0.97
8410.0 0.97
8420.0 0.97
8430.0 0.97
8440.0 0.97
8450.0 0.97
8460.0 0.97
8470.0 0.97
8480.0 0.97
8490.0 0.97
8500.0 0.97
8510.0 0.97
8520.0 0.97
8530.0 0.97
8540.0 0.97
8550.0 0.97
8560.0 0.97
8570.0 0.97
8580.0 0.97
8590.0 0.97
8600.0 0.97
8610.0 0.97
8620.0 0.97
8630.0 0.97
8640.0 0.97
8650.0 0.97
8660.0 0.97
8670.0 0.97
8680.0 0.97
8690.0 0.97
8700.0 0.97
8710.0 0.97
8720.0 0.97
8730.0 0.97
8740.0 0.97
8750.0 0.97
8760.0 0.97
8770.0 0.97
8780.0 0.97
8790.0 0.97
8800.0 0.97
8810.0 0.97
8820.0 0.97
8830.0 0.97
8840.0 0.97
8850.0 0.97
8860.0 0.97
8870.0 0.97
8880.0 0.97
8890.0 0.97
8900.0 0.97
8910.0 0.97
8920.0 0.97
8930.0 0.97
8940.0 0.97
8950.0 0.97
8960.0 0.97
8970.0 0.97
8980.0 0.97
8990.0 0.97
9000.0 0.97
9010.0 0.97
9020.0 0.97
9030.0 0.97
9040.0 0.97
9050.0 0.97
9060.0 0.97
9070.0 0.97
9080.0 0.97
9090.0 0.97
9100.0 0.97
9110.0 0.97
9120.0 0.97
9130.0 0.97
9140.0 0.97
9150.0 0.97
9160.0 0.97
9170.0 0.97
9180.0 0.97
9190.0 0.97
9200.0 0.97
9210.0 0.97
9220.0 0.97
9230.0 0.97
9240.0 0.97
9250.0 0.97
9260.0 0.97
9270.0 0.97
9280.0 0.97
9290.0 0.97
9300.0 0.97
9310.0 0.97
9320.0 0.97
9330.0 0.97
9340.0 0.97
9350.0 0.97
9360.0 0.97
9370.0 0.97
9380.0 0.97
9390.0 0.97
9400.0 0.97
9410.0 0.97
9420.0 0.97
9430.0 0.97
9440.0 0.97
9450.0 0.97
9460.0 0.97
9470.0 0.97
9480.0 0.97
9490.0 0.97
9500.0 0.97
9510.0 0.97
9520.0 0.97
9530.0 0.97
9540.0 0.97
9550.0 0.97
9560.0 0.97
9570.0 0.97
9580.0 0.97
9590.0 0.97
9600.0 0.97
9610.0 0.97
9620.0 0.97
9630.0 0.97
9640.0 0.97
9650.0 0.97
9660.0 0.97
9670.0 0.97
9680.0 0.97
9690.0 0.97
9700.0 0.97
9710.0 0.97
9720.0 0.97
9730.0 0.97
9740.0 0.97
9750.0 0.97
9760.0 0.97
9770.0 0.97
9780.0 0.97
9790.0 0.97
9800.0 0.97
9810.0 0.97
9820.0 0.97
9830.0 0.97
9840.0 0.97
9850.0 0.97
9860.0 0.97
9870.0 0.97
9880.0 0.97
9890.0 0.97
9900.0 0.97
9910.0 0.97
9920.0 0.97
9930.0 0.97
9940.0 0.97
9950.0 0.97
9960.0 0.97
9970.0 0.97
9980.0 0.97
9990.0 0.97
10000.0 0.97
10010.0 0.97
10020.0 0.97
10030.0 0.97
10040.0 0.97
10050.0 0.97
10060.0 0.97
10070.0 0.97
10080.0 0.97
10090.0 0.97
10100.0 0.97
10110.0 0.97
10120.0 0.97
10130.0 0.97
10140.0 0.97
10150.0 0.97
10160.0 0.97
10170.0 0.97
10180.0 0.97
10190.0 0.97
10200.0 0.97
10210.0 0.97
10220.0 0.97
10230.0 0.97
10240.0 0.97
10250.0 0.97
10260.0 0.97
10270.0 0.97
10280.0 0.97
10290.0 0.97
10300.0 0.97
10310.0 0.97
10320.0 0.97
10330.0 0.97
10340.0 0.97
10350.0 0.97
10360.0 0.97
10370.0 0.97
10380.0 0.97
10390.0 0.97
10400.0 0.97
10410.0 0.97
10420.0 0.97
10430.0 0.97
10440.0 0.97
10450.0 0.97
10460.0 0.97
10470.0 0.97
10480.0 0.97
10490.0 0.97
10500.0 0.97
10510.0 0.97
10520.0 0.97
10530.0 0.97
10540.0 0.97
10550.0 0.97
10560.0 0.97
10570.0 0.97
10580.0 0.97
10590.0 0.97
10600.0 0.97
10610.0 0.97
10620.0 0.97
10630.0 0.97
10640.0 0.97
10650.0 0.97
10660.0 0.97
10670.0 0.97
10680.0 0.97
10690.0 0.97
10700.0 0.97
10710.0 0.97
10720.0 0.97
10730.0 0.97
10740.0 0.97
10750.0 0.97
10760.0 0.97
10770.0 0.97
10780.0 0.97
10790.0 0.97
10800.0 0.97
10810.0 0.97
10820.0 0.97
10830.0 0.97
10840.0 0.97
10850.0 0.97
10860.0 0.97
10870.0 0.97
10880.0 0.97
10890.0 0.97
10900.0 0.97
10910.0 0.97
10920.0 0.97
10930.0 0.97
10940.0 0.97
10950.0 0.97
10960.0 0.97
10970.0 0.97
10980.0 0.97
10990.0 0.97
11000.0 0.97
11010.0 0.97
11020.0 0.97
11030.0 0.97
11040.0 0.97
11050.0 0.97
11060.0 0.97
11070.0 0.97
11080.0 0.97
11090.0 0.97
11100.0 0.97
11110.0 0.97
11120.0 0.97
11130.0 0.97
11140.0 0.97
11150.0 0.97
11160.0 0.97
11170.0 0.97
11180.0 0.97
11190.0 0.97
11200.0 0.97
11210.0 0.97
11220.0 0.97
11230.0 0.97
11240.0 0.97
11250.0 0.97
11260.0 0.97
11270.0 0.97
11280.0 0.97
11290.0 0.97
11300.0 0.97
11310.0 0.97
11320.0 0.97
11330.0 0.97
11340.0 0.97
11350.0 0.97
11360.0 0.97
11370.0 0.97
11380.0 0.97
11390.0 0.97
11400.0 0.97
11410.0 0.97
11420.0 0.97
11430.0 0.97
11440.0 0.97
11450.0 0.97
11460.0 0.97
11470.0 0.97
11480.0 0.97
11490.0 0.97
11500.0 0.97
11510.0 0.97
11520.0 0.97
11530.0 0.97
11540.0 0.97
11550.0 0.97
11560.0 0.97
11570.0 0.97
11580.0 0.97
11590.0 0.97
11600.0 0.97
11610.0 0.97
11620.0 0.97
11630.0 0.97
11640.0 0.97
11650.0 0.97
11660.0 0.97
11670.0 0.97
11680.0 0.97
11690.0 0.97
11700.0 0.97
11710.0 0.97
11720.0 0.97
11730.0 0.97
11740.0 0.97
11750.0 0.97
11760.0 0.97
11770.0 0.97
11780.0 0.97
11790.0 0.97
11800.0 0.97
11810.0 0.97
11820.0 0.97
11830.0 0.97
11840.0 0.97
11850.0 0.97
11860.0 0.97
11870.0 0.97
11880.0 0.97
11890.0 0.97
11900.0 0.97
11910.0 0.97
11920.0 0.97
11930.0 0.97
11940.0 0.97
11950.0 0.97
11960.0 0.97
11970.0 0.97
11980.0 0.97
11990.0 0.97
12000.0 0.97
12010.0 0.97
12020.0 0.97
12030.0 0.97
12040.0 0.97
12050.0 0.97
12060.0 0.97
12070.0 0.97
12080.0 0.97
12090.0 0.97
12100.0 0.97
12110.0 0.97
12120.0 0.97
12130.0 0.97
12140.0 0.97
12150.0 0.97
12160.0 0.97
12170.0 0.97
12180.0 0.97
12190.0 0.97
12200.0 0.97
12210.0 0.97
12220.0 0.97
12230.0 0.97
12240.0 0.97
12250.0 0.97
12260.0 0.97
12270.0 0.97
12280.0 0.97
12290.0 0.97
12300.0 0.97
12310.0 0.97
12320.0 0.97
12330.0 0.97
12340.0 0.97
12350.0 0.97
12360.0 0.97
12370.0 0.97
12380.0 0.97
12390.0 0.97
12400.0 0.97
12410.0 0.97
12420.0 0.97
12430.0 0.97
12440.0 0.97
12450.0 0.97
12460.0 0.97
12470.0 0.97
12480.0 0.97
12490.0 0.97
12500.0 0.97
12510.0 0.97
12520.0 0.97
12530.0 0.97
12540.0 0.97
12550.0 0.97
12560.0 0.97
12570.0 0.97
12580.0 0.97
12590.0 0.97
12600.0 0.97
12610.0 0.97
12620.0 0.97
12630.0 0.97
12640.0 0.97
12650.0 0.97
12660.0 0.97
12670.0 0.97
12680.0 0.97
12690.0 0.97
12700.0 0.97
12710.0 0.97
12720.0 0.97
12730.0 0.97
12740.0 0.97
12750.0 0.97
12760.0 0.97
12770.0 0.97
12780.0 0.97
12790.0 0.97
12800.0 0.97
12810.0 0.97
12820.0 0.97
