wav,thr
350,0.54763324
360,0.594097717
370,0.652889275
400,0.716763725
450,0.721127768
500,0.687903464
550,0.672226141
600,0.659521779
650,0.581162915
700,0.476441706
750,0.380909333
800,0.262120441
850,0.168360908
900,0.109983513
950,0.053933404
1000,0.017037835
1050,0.005097373
1100,0.
