PID,RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
DES,320.010332,-0.9890909999999999,0.0,16.3552494049072,15.851183891296401,16.2654342651367,16.0735778808594,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.00932400000005,-0.988291,0.0,16.3105907440186,15.9062185287476,16.068597793579098,15.7625570297241,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.031131,-0.9950450000000001,0.0,19.5111808776855,18.8304405212402,18.6402645111084,18.544254302978498,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.026734,-0.991453,0.0,16.5278644561768,16.0734539031982,16.1938552856445,15.8704738616943,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.011074,-0.962414,0.0,20.2046070098877,19.466083526611303,19.249210357665998,19.1444721221924,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.061013,-0.9973,0.0,18.8483047485352,18.3177661895752,18.1679706573486,18.1087341308594,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.06212400000004,-0.9929549999999999,0.0,19.6952896118164,19.024019241333,18.8309535980225,18.7281112670898,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.0696,-0.9966309999999999,0.0,15.9266710281372,15.8705339431763,16.5991916656494,16.0281143188477,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.09190099999995,-0.9906010000000001,0.0,17.1057300567627,16.6639080047607,16.5528202056885,16.5176219940186,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.059837,-0.961026,0.0,20.4572772979736,19.7360763549805,19.4806900024414,19.3748931884766,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.072635,-0.9625889999999999,0.0,20.8780250549316,19.9628982543945,19.6483783721924,19.4703674316406,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.061898,-0.9512379999999999,0.0,18.9558410644531,17.7142066955566,17.3142471313477,17.104295730590803,0.0,0.0,1.0,1.0,1.0,1.0,0.0
