wave targetflux
359.633 5.630527055992319e-19
359.7286241857002 5.63071143513307e-19
359.82421222241385 5.63078099070668e-19
359.91976412380643 5.630964986515126e-19
360.01527990353827 5.632206275991862e-19
360.11075957526435 5.639694851761424e-19
360.2062031526348 5.647220921137677e-19
360.30161064929445 5.654710743165977e-19
360.39698207888284 5.662211383652935e-19
360.49231745503454 5.669625397008962e-19
360.5876167913789 5.677074331701497e-19
360.68288010154004 5.684639984007008e-19
360.7781073991371 5.692294723139923e-19
360.873298697784 5.700045948604679e-19
360.9684540110893 5.707758577784747e-19
361.0635733526568 5.715596442463089e-19
361.1586567360849 5.723534602441443e-19
361.25370417496686 5.731433427730351e-19
361.348715682891 5.73962368547678e-19
361.44369127344027 5.747844440415642e-19
361.53863096019256 5.755986587604099e-19
361.63353475672074 5.76418973238778e-19
361.7284026765924 5.772458079287417e-19
361.82323473337 5.780753463487199e-19
361.918030940611 5.789039471565057e-19
362.0127913118677 5.79730039762167e-19
362.10751586068716 5.805562785828189e-19
362.2022046006115 5.813835704358769e-19
362.29685754517755 5.822102488683252e-19
362.3914747079171 5.830382996878365e-19
362.4860561023568 5.83857374798927e-19
362.5806017420183 5.8466281119685755e-19
362.67511164041787 5.854661714311113e-19
362.76958581106703 5.862796604157166e-19
362.86402426747196 5.870953233051403e-19
362.9584270231337 5.878963406835464e-19
363.0527940915483 5.886818922800319e-19
363.14712548620673 5.894624750865906e-19
363.2414212205948 5.902439865988242e-19
363.33568130819316 5.910250048584395e-19
363.42990576247746 5.918054601163359e-19
363.5240945969183 5.925856379128351e-19
363.61824782498104 5.933660496930528e-19
363.712365460126 5.941268760911831e-19
363.8064475158085 5.948911452637485e-19
363.90049400547866 5.956677963285794e-19
363.99450494258156 5.96416781467205e-19
364.0884803405573 5.971609262061243e-19
364.18242021284067 5.979028867903208e-19
364.27632457286165 5.986447692442302e-19
364.37019343404484 5.993857739427269e-19
364.4640268098101 6.001264394600282e-19
364.5578247135719 6.00866504721629e-19
364.6515871587399 6.016018462165304e-19
364.74531415871854 6.023373229536574e-19
364.8390057269072 6.030783116663392e-19
364.93266187670025 6.03835235646642e-19
365.026282621487 6.045986464754349e-19
365.1198679746516 6.053834204068245e-19
365.2134179495732 6.061539946331662e-19
365.30693255962603 6.069213315705041e-19
365.400411818179 6.077236226511067e-19
365.4938557385962 6.085223526084241e-19
365.5872643342365 6.0929082543085385e-19
365.6806376184539 6.100525689668265e-19
365.77397560459707 6.108122828903574e-19
365.86727830600995 6.115808534640241e-19
365.96054573603124 6.123522343304634e-19
366.05377790799463 6.131199312823757e-19
366.14697483522883 6.138760664734084e-19
366.24013653105743 6.146324873006305e-19
366.333263008799 6.153885327658607e-19
366.4263542817672 6.16144043641954e-19
366.5194103632705 6.168990200450309e-19
366.61243126661236 6.176524923159781e-19
366.70541700509125 6.184076255340478e-19
366.79836759200066 6.191813766377477e-19
366.891283040629 6.199455432909507e-19
366.9841633642596 6.206991635729293e-19
367.07700857617084 6.21450873370066e-19
367.1698186896361 6.222020549484363e-19
367.26259371792366 6.229527865764055e-19
367.3553336742969 6.2370298252543e-19
367.44803857201407 6.2445264171312005e-19
367.5407084243285 6.252017640659931e-19
367.63334324448846 6.259503495437786e-19
367.7259430457372 6.266983979461078e-19
367.818507841313 6.2744590921941e-19
367.9110376444491 6.281928830941436e-19
368.00353246837375 6.289393199112816e-19
368.09599232631024 6.29685218756503e-19
368.18841723147676 6.304305806943421e-19
368.28080719708663 6.311754044389878e-19
368.3731622363481 6.319196895771988e-19
368.4654823624645 6.326634371764234e-19
368.55776758863396 6.334066464687075e-19
368.65001792805 6.341493167518092e-19
368.7422333939007 6.348914490593107e-19
368.8344139993695 6.356330431158454e-19
368.92655975763466 6.363740971563511e-19
369.0186706818696 6.371146135229314e-19
369.1107467852426 6.378545901608799e-19
369.2027880809172 6.385940284809264e-19
369.2947945820517 6.39332926645063e-19
369.38676690439866 6.400712915826473e-19
369.47871011675863 6.408091614254302e-19
369.5706242283453 6.4154653814119e-19
369.66250924836913 6.422834199889144e-19
369.75436518603794 6.430198071911369e-19
369.84619205055645 6.437556995244197e-19
369.93798985112664 6.444910979507728e-19
370.0297585969475 6.452158399811318e-19
370.121498297215 6.459188794752007e-19
370.2132089611223 6.466213663127687e-19
370.3048905978597 6.473233008718897e-19
370.39654321661453 6.480246832571652e-19
370.48816682657116 6.487255138401154e-19
370.57976143691116 6.494257915138775e-19
370.67132705681314 6.501255175769011e-19
370.76286369545284 6.508246909346842e-19
370.854371362003 6.515233126425917e-19
370.9458500656335 6.522213808169354e-19
371.0372998155114 6.529188968822822e-19
371.12872062080083 6.536158601339369e-19
371.2201124906629 6.543122709254192e-19
371.31147543425595 6.550081298642966e-19
371.4028094607354 6.557034356105713e-19
371.49411457925373 6.563981888925301e-19
371.5853907989605 6.570923901718017e-19
371.6766381290025 6.577860377397779e-19
371.7678565785235 6.584791336271944e-19
371.8590461566645 6.591716763678819e-19
371.95020687256334 6.598636673427826e-19
372.0413387353553 6.605551046499566e-19
372.1324417541726 6.612459900464198e-19
372.22351593814454 6.619363224264823e-19
372.3145612963977 6.626261020590927e-19
372.40557783805554 6.63315330911174e-19
372.49656557223875 6.640040052189394e-19
372.5875245080652 6.646921268944628e-19
372.6784546546497 6.653796964902727e-19
372.7693560211045 6.660667145646377e-19
372.86022861653845 6.667531792938452e-19
372.951072450058 6.674390912981664e-19
373.04188753076653 6.681244513836354e-19
373.1326738677644 6.688092589262519e-19
373.2234314701494 6.694935132601084e-19
373.3141603470161 6.701772158589506e-19
373.40486050745653 6.708603660218086e-19
373.49553196055956 6.715446425628315e-19
373.58617471541135 6.722203679762486e-19
373.67678878109507 6.728848731975755e-19
373.7673741666911 6.735680711331141e-19
373.85793088127696 6.742532381468048e-19
373.94845893392727 6.749298451063163e-19
374.03895833371365 6.755993843317606e-19
374.12942908970507 6.762687995547598e-19
374.2198712109675 6.769473639293982e-19
374.310284706564 6.776253510164194e-19
374.40066958555497 6.783023920638091e-19
374.4910258569976 6.7897888182571385e-19
374.58135352994657 6.796548189082186e-19
374.6716526134535 6.8033020565417585e-19
374.7619231165671 6.810056586303422e-19
374.85216504833346 6.816780303943476e-19
374.9423784177955 6.823456367348073e-19
375.03256323399347 6.8301266974269385e-19
375.1227195059647 6.837046659768316e-19
375.21284724274363 6.844106712864719e-19
375.302946453362 6.851141366344957e-19
375.3930171468485 6.858102505973678e-19
375.483059332229 6.864903283782505e-19
375.5730730185266 6.871853265343385e-19
375.66305821476146 6.878856663419897e-19
375.75301492995095 6.885628185857341e-19
375.8429431731095 6.892523400935323e-19
375.9328429532488 6.899548774331994e-19
376.02271427937757 6.90633044990113e-19
376.11255716050175 6.91316336058747e-19
376.2023716056245 6.920165954916527e-19
376.2921576237459 6.926994861513732e-19
376.38191522386336 6.933743065668547e-19
376.4716444149715 6.940489204682542e-19
376.5613452060619 6.947228906008384e-19
376.6510176061235 6.953963904157322e-19
376.74066162414226 6.960691626666669e-19
376.8302772691012 6.967421155728458e-19
376.91986454998084 6.974151590796717e-19
377.00942347575847 6.980879900123128e-19
377.0989540554088 6.987530635725877e-19
377.18845629790354 6.994041815361281e-19
377.27793021221163 7.000632639847058e-19
377.36737580729925 7.007248456651948e-19
377.45679309212966 7.013780488399575e-19
377.5461820756632 7.020347596004552e-19
377.6355427668575 7.026951806590606e-19
377.7248751746673 7.033493505942237e-19
377.81417930804463 7.039983451064936e-19
377.90345517593846 7.046419635703128e-19
377.99270278729506 7.052836509867332e-19
378.0819221510579 7.059248450906747e-19
378.1711132761675 7.065675406922821e-19
378.2602761715617 7.072076210408484e-19
378.3494108461754 7.078467008477512e-19
378.43851730894073 7.084949880202585e-19
378.5275955687869 7.091466302792716e-19
378.6166456346404 7.097992978049323e-19
378.7056675154249 7.104418646136178e-19
378.7946612200612 7.110799738857951e-19
378.8836267574672 7.117244372104874e-19
378.97256413655816 7.123719552071973e-19
379.0614784141315 7.130213769570761e-19
379.15037682473115 7.136641448871809e-19
379.2392593711887 7.143113945936802e-19
379.32812605633507 7.149716924499852e-19
379.41697688300076 7.156296514254484e-19
379.5058118540158 7.162854674987949e-19
379.59463097220964 7.169412294749761e-19
379.68343424041126 7.175960550246187e-19
379.7722216614491 7.182505914932248e-19
379.8609932381512 7.189086290381585e-19
379.9497489733449 7.195730029985545e-19
380.0384888698573 7.202251853171365e-19
380.1272129305147 7.208501745670321e-19
380.2159211581432 7.214790557243111e-19
380.30461355556815 7.221184717512071e-19
380.3932901256145 7.22760348388401e-19
380.4819508711067 7.233996375597206e-19
380.5705957948686 7.240295805562826e-19
380.6592248997238 7.246581646768493e-19
380.7478381884951 7.253171436092094e-19
380.83643566400497 7.259746494188747e-19
380.9250173290753 7.266179261566009e-19
381.01358318652746 7.272734712201876e-19
381.1021332391824 7.279321269392908e-19
381.1906674898606 7.285749930774763e-19
381.2791859413818 7.292245987509934e-19
381.36768859656553 7.298858988079926e-19
381.45617545823063 7.305473231939055e-19
381.5446465291956 7.312088978591361e-19
381.63310181227814 7.318696129404791e-19
381.7215413102957 7.325301803182447e-19
381.8099650260653 7.331902312446177e-19
381.8983729624032 7.338500018012916e-19
381.9867651221253 7.3450823742073545e-19
382.07514150804695 7.351634046882913e-19
382.16350212298306 7.358080069204366e-19
382.251846969748 7.364452861688026e-19
382.3401760511556 7.370995939074913e-19
382.4284893700193 7.377574378400215e-19
382.51678692915186 7.384104952000669e-19
382.6050687313657 7.390525843897768e-19
382.6933347794727 7.396879232646844e-19
382.7815850762842 7.40338006413866e-19
382.86981962461107 7.409841998721624e-19
382.95803842726366 7.416137127634115e-19
383.0462414870518 7.422427614693033e-19
383.13442880678497 7.42872350266289e-19
383.22260038927186 7.435022304461915e-19
383.31075623732085 7.441314990144187e-19
383.3988963537398 7.447595517983731e-19
383.48702074133615 7.453872285081666e-19
383.5751294029167 7.460146918168905e-19
383.6632223412877 7.466416893039071e-19
383.7512995592551 7.472671522218405e-19
383.83936105962414 7.478908051464928e-19
383.9274068451998 7.48501938909879e-19
384.01543691878635 7.491050960393398e-19
384.10345128318767 7.497247840137063e-19
384.19144994120705 7.503423316899935e-19
384.27943289564735 7.509439795162542e-19
384.367400149311 7.515555615653951e-19
384.45535170499966 7.521754678055145e-19
384.5432875655148 7.527795231695858e-19
384.6312077336573 7.533836767809013e-19
384.71911221222734 7.540022214182442e-19
384.807001004025 7.546092038825002e-19
384.8948741118494 7.552032527210306e-19
384.9827315384995 7.557980772451192e-19
385.07057328677354 7.56473149137741e-19
385.15839935946957 7.57170330024749e-19
385.2462097593847 7.578754865544431e-19
385.334004489316 7.585880568106819e-19
385.42178355205965 7.592855514957653e-19
385.50954695041156 7.599751304435178e-19
385.59729468716705 7.606664807082108e-19
385.68502676512105 7.613571227211715e-19
385.7727431870678 7.620472200307484e-19
385.86044395580126 7.627418873714972e-19
