lamA thr_arm1 thr_arm2 thr_arm3 thr_arm4 thr_arm5
3500.0 0.0 0.0 0.0 0.0 0.0
3510.0 0.0 0.0 0.0 0.0 0.0
3520.0 0.0 0.0 0.0 0.0 0.0
3530.0 0.0 0.0 0.0 0.0 0.0
3540.0 0.0 0.0 0.0 0.0 0.0
3550.0 0.0 0.0 0.0 0.0 0.0
3560.0 0.0 0.0 0.0 0.0 0.0
3570.0 0.0 0.0 0.0 0.0 0.0
3580.0 0.0 0.0 0.0 0.0 0.0
3590.0 0.0 0.0 0.0 0.0 0.0
3600.0 0.33539896880000003 0.0 0.0 0.0 0.0
3610.0 0.34145705192 0.0 0.0 0.0 0.0
3620.0 0.34751513504000003 0.0 0.0 0.0 0.0
3630.0 0.35357321816000004 0.0 0.0 0.0 0.0
3640.0 0.35963130128000004 0.0 0.0 0.0 0.0
3650.0 0.3656893844 0.0 0.0 0.0 0.0
3660.0 0.37174746752000004 0.0 0.0 0.0 0.0
3670.0 0.37780555064000004 0.0 0.0 0.0 0.0
3680.0 0.38386363376000004 0.0 0.0 0.0 0.0
3690.0 0.38992171688 0.0 0.0 0.0 0.0
3700.0 0.39597980000000005 0.0 0.0 0.0 0.0
3710.0 0.39922523453333336 0.0 0.0 0.0 0.0
3720.0 0.40247066906666673 0.0 0.0 0.0 0.0
3730.0 0.40571610360000004 0.0 0.0 0.0 0.0
3740.0 0.40896153813333336 0.0 0.0 0.0 0.0
3750.0 0.4122069726666667 0.0 0.0 0.0 0.0
3760.0 0.41545240720000004 0.0 0.0 0.0 0.0
3770.0 0.41869784173333335 0.0 0.0 0.0 0.0
3780.0 0.4219432762666667 0.0 0.0 0.0 0.0
3790.0 0.42518871080000004 0.0 0.0 0.0 0.0
3800.0 0.42843414533333335 0.0 0.0 0.0 0.0
3810.0 0.4316795798666667 0.0 0.0 0.0 0.0
3820.0 0.43492501440000003 0.0 0.0 0.0 0.0
3830.0 0.43817044893333335 0.0 0.0 0.0 0.0
3840.0 0.4414158834666667 0.0 0.0 0.0 0.0
3850.0 0.444661318 0.0 0.0 0.0 0.0
3860.0 0.44790675253333334 0.0 0.0 0.0 0.0
3870.0 0.4511521870666667 0.0 0.0 0.0 0.0
3880.0 0.4543976216 0.0 0.0 0.0 0.0
3890.0 0.45764305613333334 0.0 0.0 0.0 0.0
3900.0 0.4608884906666667 0.0 0.0 0.0 0.0
3910.0 0.4641339252 0.0 0.0 0.0 0.0
3920.0 0.46737935973333333 0.0 0.0 0.0 0.0
3930.0 0.4706247942666667 0.0 0.0 0.0 0.0
3940.0 0.4738702288 0.0 0.0 0.0 0.0
3950.0 0.47711566333333333 0.0 0.0 0.0 0.0
3960.0 0.4803610978666667 0.0 0.0 0.0 0.0
3970.0 0.4836065324 0.0 0.0 0.0 0.0
3980.0 0.4868519669333333 0.0 0.0 0.0 0.0
3990.0 0.4900974014666667 0.0 0.0 0.0 0.0
4000.0 0.493342836 0.0 0.0 0.0 0.0
4010.0 0.49403517145599996 0.0 0.0 0.0 0.0
4020.0 0.494727506912 0.0 0.0 0.0 0.0
4030.0 0.49541984236799996 0.0 0.0 0.0 0.0
4040.0 0.496112177824 0.0 0.0 0.0 0.0
4050.0 0.49680451327999997 0.0 0.0 0.0 0.0
4060.0 0.49749684873600003 0.0 0.0 0.0 0.0
4070.0 0.498189184192 0.0 0.0 0.0 0.0
4080.0 0.49888151964800004 0.0 0.0 0.0 0.0
4090.0 0.499573855104 0.0 0.0 0.0 0.0
4100.0 0.50026619056 0.0 0.0 0.0 0.0
4110.0 0.500958526016 0.0 0.0 0.0 0.0
4120.0 0.501650861472 0.0 0.0 0.0 0.0
4130.0 0.502343196928 0.0 0.0 0.0 0.0
4140.0 0.503035532384 0.0 0.0 0.0 0.0
4150.0 0.50372786784 0.0 0.0 0.0 0.0
4160.0 0.504420203296 0.0 0.0 0.0 0.0
4170.0 0.505112538752 0.0 0.0 0.0 0.0
4180.0 0.505804874208 0.0 0.0 0.0 0.0
4190.0 0.506497209664 0.0 0.0 0.0 0.0
4200.0 0.50718954512 0.0 0.0 0.0 0.0
4210.0 0.507881880576 0.0 0.0 0.0 0.0
4220.0 0.508574216032 0.0 0.0 0.0 0.0
4230.0 0.509266551488 0.0 0.0 0.0 0.0
4240.0 0.509958886944 0.0 0.0 0.0 0.0
4250.0 0.5106512223999999 0.0 0.0 0.0 0.0
4260.0 0.511343557856 0.0 0.0 0.0 0.0
4270.0 0.512035893312 0.0 0.0 0.0 0.0
4280.0 0.5127282287680001 0.0 0.0 0.0 0.0
4290.0 0.513420564224 0.0 0.0 0.0 0.0
4300.0 0.5141128996800001 0.0 0.0 0.0 0.0
4310.0 0.514805235136 0.0 0.0 0.0 0.0
4320.0 0.5154975705920001 0.0 0.0 0.0 0.0
4330.0 0.516189906048 0.0 0.0 0.0 0.0
4340.0 0.5168822415040001 0.0 0.0 0.0 0.0
4350.0 0.51757457696 0.0 0.0 0.0 0.0
4360.0 0.5182669124160001 0.0 0.0 0.0 0.0
4370.0 0.518959247872 0.0 0.0 0.0 0.0
4380.0 0.519651583328 0.0 0.0 0.0 0.0
4390.0 0.520343918784 0.0 0.0 0.0 0.0
4400.0 0.52103625424 0.0 0.0 0.0 0.0
4410.0 0.521728589696 0.0 0.0 0.0 0.0
4420.0 0.522420925152 0.0 0.0 0.0 0.0
4430.0 0.523113260608 0.0 0.0 0.0 0.0
4440.0 0.523805596064 0.0 0.0 0.0 0.0
4450.0 0.52449793152 0.0 0.0 0.0 0.0
4460.0 0.525190266976 0.0 0.0 0.0 0.0
4470.0 0.525882602432 0.0 0.0 0.0 0.0
4480.0 0.526574937888 0.0 0.0 0.0 0.0
4490.0 0.527267273344 0.0 0.0 0.0 0.0
4500.0 0.5279596088 0.0 0.0 0.0 0.0
4510.0 0.5269530204 0.0 0.0 0.0 0.0
4520.0 0.525946432 0.0 0.0 0.0 0.0
4530.0 0.5249398436 0.0 0.0 0.0 0.0
4540.0 0.5239332552 0.0 0.0 0.0 0.0
4550.0 0.5229266668 0.0 0.0 0.0 0.0
4560.0 0.5219200784 0.0 0.0 0.0 0.0
4570.0 0.52091349 0.0 0.0 0.0 0.0
4580.0 0.5199069016000001 0.0 0.0 0.0 0.0
4590.0 0.5189003132 0.0 0.0 0.0 0.0
4600.0 0.5178937248 0.0 0.0 0.0 0.0
4610.0 0.5168871364000001 0.0 0.0 0.0 0.0
4620.0 0.515880548 0.0 0.0 0.0 0.0
4630.0 0.5148739595999999 0.0 0.0 0.0 0.0
4640.0 0.5138673712 0.0 0.0 0.0 0.0
