wav,resol,
0.389839,3824.43,
0.401790,3951.52,
0.413282,4078.60,
0.423393,4213.38,
0.436265,4336.63,
0.450058,4452.18,
0.462932,4563.88,
0.474883,4694.82,
0.486835,4818.06,
0.501088,4937.46,
