wav,throughput
600,0.040756682
605,0.244327397
610,0.195670858
615,0.193062942
620,0.467832579
625,0.406382899
630,0.433089783
635,0.495428681
640,0.540318292
645,0.537719234
650,0.535253604
655,0.536758482
660,0.525091917
665,0.506473279
670,0.50177684
675,0.512800721
680,0.52746956
685,0.533381837
690,0.522816517
695,0.502350952
700,0.48760762
705,0.487266779
710,0.499577846
715,0.517459152
720,0.532552382
725,0.539985428
730,0.539176056
735,0.534361259
740,0.530858637
745,0.5314931
750,0.535914854
755,0.541667154
760,0.545715917
765,0.545915286
770,0.54193004
775,0.535011331
780,0.52700112
785,0.519515115
790,0.51321845
795,0.50793385
800,0.503128613
805,0.498301288
810,0.492925857
815,0.486807301
820,0.480005249
825,0.472586038
830,0.464638233
835,0.45638915
840,0.447955066
845,0.439359325
850,0.430681438
855,0.422083272
860,0.413485748
865,0.404881022
870,0.396311876
875,0.387762226
880,0.379073825
885,0.369902869
890,0.359747235
895,0.3480135
