lamA thr
7040.0 0.96
7050.0 0.96
7060.0 0.96
7070.0 0.96
7080.0 0.96
7090.0 0.96
7100.0 0.96
7110.0 0.96
7120.0 0.96
7130.0 0.96
7140.0 0.96
7150.0 0.96
7160.0 0.96
7170.0 0.96
7180.0 0.96
7190.0 0.96
7200.0 0.96
7210.0 0.96
7220.0 0.96
7230.0 0.96
7240.0 0.96
7250.0 0.96
7260.0 0.96
7270.0 0.96
7280.0 0.96
7290.0 0.96
7300.0 0.96
7310.0 0.96
7320.0 0.96
7330.0 0.96
7340.0 0.96
7350.0 0.96
7360.0 0.96
7370.0 0.96
7380.0 0.96
7390.0 0.96
7400.0 0.96
7410.0 0.96
7420.0 0.96
7430.0 0.96
7440.0 0.96
7450.0 0.96
7460.0 0.96
7470.0 0.96
7480.0 0.96
7490.0 0.96
7500.0 0.96
7510.0 0.96
7520.0 0.96
7530.0 0.96
7540.0 0.96
7550.0 0.96
7560.0 0.96
7570.0 0.96
7580.0 0.96
7590.0 0.96
7600.0 0.96
7610.0 0.96
7620.0 0.96
7630.0 0.96
7640.0 0.96
7650.0 0.96
7660.0 0.96
7670.0 0.96
7680.0 0.96
7690.0 0.96
7700.0 0.96
7710.0 0.96
7720.0 0.96
7730.0 0.96
7740.0 0.96
7750.0 0.96
7760.0 0.96
7770.0 0.96
7780.0 0.96
7790.0 0.96
7800.0 0.96
7810.0 0.96
7820.0 0.96
7830.0 0.96
7840.0 0.96
7850.0 0.96
7860.0 0.96
7870.0 0.96
7880.0 0.96
7890.0 0.96
7900.0 0.96
7910.0 0.96
7920.0 0.96
7930.0 0.96
7940.0 0.96
7950.0 0.96
7960.0 0.96
7970.0 0.96
7980.0 0.96
7990.0 0.96
8000.0 0.96
8010.0 0.96
8020.0 0.96
8030.0 0.96
8040.0 0.96
8050.0 0.96
8060.0 0.96
8070.0 0.96
8080.0 0.96
8090.0 0.96
8100.0 0.96
8110.0 0.96
8120.0 0.96
8130.0 0.96
8140.0 0.96
8150.0 0.96
8160.0 0.96
8170.0 0.96
8180.0 0.96
8190.0 0.96
8200.0 0.96
8210.0 0.96
8220.0 0.96
8230.0 0.96
8240.0 0.96
8250.0 0.96
8260.0 0.96
8270.0 0.96
8280.0 0.96
8290.0 0.96
8300.0 0.96
8310.0 0.96
8320.0 0.96
8330.0 0.96
8340.0 0.96
8350.0 0.96
8360.0 0.96
8370.0 0.96
8380.0 0.96
8390.0 0.96
8400.0 0.96
8410.0 0.96
8420.0 0.96
8430.0 0.96
8440.0 0.96
8450.0 0.96
8460.0 0.96
8470.0 0.96
8480.0 0.96
8490.0 0.96
8500.0 0.96
8510.0 0.96
8520.0 0.96
8530.0 0.96
8540.0 0.96
8550.0 0.96
8560.0 0.96
8570.0 0.96
8580.0 0.96
8590.0 0.96
8600.0 0.96
8610.0 0.96
8620.0 0.96
8630.0 0.96
8640.0 0.96
8650.0 0.96
8660.0 0.96
8670.0 0.96
8680.0 0.96
8690.0 0.96
8700.0 0.96
8710.0 0.96
8720.0 0.96
8730.0 0.96
8740.0 0.96
8750.0 0.96
8760.0 0.96
8770.0 0.96
8780.0 0.96
8790.0 0.96
8800.0 0.96
8810.0 0.96
8820.0 0.96
8830.0 0.96
8840.0 0.96
8850.0 0.96
8860.0 0.96
8870.0 0.96
8880.0 0.96
8890.0 0.96
8900.0 0.96
8910.0 0.96
8920.0 0.96
8930.0 0.96
8940.0 0.96
8950.0 0.96
8960.0 0.96
8970.0 0.96
8980.0 0.96
8990.0 0.96
9000.0 0.96
9010.0 0.96
9020.0 0.96
9030.0 0.96
9040.0 0.96
9050.0 0.96
9060.0 0.96
9070.0 0.96
9080.0 0.96
9090.0 0.96
9100.0 0.96
9110.0 0.96
9120.0 0.96
9130.0 0.96
9140.0 0.96
9150.0 0.96
9160.0 0.96
9170.0 0.96
9180.0 0.96
9190.0 0.96
9200.0 0.96
9210.0 0.96
9220.0 0.96
9230.0 0.96
9240.0 0.96
9250.0 0.96
9260.0 0.96
9270.0 0.96
9280.0 0.96
9290.0 0.96
9300.0 0.96
9310.0 0.96
9320.0 0.96
9330.0 0.96
9340.0 0.96
9350.0 0.96
9360.0 0.96
9370.0 0.96
9380.0 0.96
9390.0 0.96
9400.0 0.96
9410.0 0.96
9420.0 0.96
9430.0 0.96
9440.0 0.96
9450.0 0.96
9460.0 0.96
9470.0 0.96
9480.0 0.96
9490.0 0.96
9500.0 0.96
9510.0 0.96
9520.0 0.96
9530.0 0.96
9540.0 0.96
9550.0 0.96
9560.0 0.96
9570.0 0.96
9580.0 0.96
9590.0 0.96
9600.0 0.96
9610.0 0.96
9620.0 0.96
9630.0 0.96
9640.0 0.96
9650.0 0.96
9660.0 0.96
9670.0 0.96
9680.0 0.96
9690.0 0.96
9700.0 0.96
9710.0 0.96
9720.0 0.96
9730.0 0.96
9740.0 0.96
9750.0 0.96
9760.0 0.96
9770.0 0.96
9780.0 0.96
9790.0 0.96
9800.0 0.96
9810.0 0.96
9820.0 0.96
9830.0 0.96
9840.0 0.96
9850.0 0.96
9860.0 0.96
9870.0 0.96
9880.0 0.96
9890.0 0.96
9900.0 0.96
9910.0 0.96
9920.0 0.96
9930.0 0.96
9940.0 0.96
9950.0 0.96
9960.0 0.96
9970.0 0.96
9980.0 0.96
9990.0 0.96
10000.0 0.96
10010.0 0.96
10020.0 0.96
10030.0 0.96
10040.0 0.96
10050.0 0.96
10060.0 0.96
10070.0 0.96
10080.0 0.96
10090.0 0.96
10100.0 0.96
10110.0 0.96
10120.0 0.96
10130.0 0.96
10140.0 0.96
10150.0 0.96
10160.0 0.96
10170.0 0.96
10180.0 0.96
10190.0 0.96
10200.0 0.96
10210.0 0.96
10220.0 0.96
10230.0 0.96
10240.0 0.96
10250.0 0.96
10260.0 0.96
10270.0 0.96
10280.0 0.96
10290.0 0.96
10300.0 0.96
10310.0 0.96
10320.0 0.96
10330.0 0.96
10340.0 0.96
10350.0 0.96
10360.0 0.96
10370.0 0.96
10380.0 0.96
10390.0 0.96
10400.0 0.96
10410.0 0.96
10420.0 0.96
10430.0 0.96
10440.0 0.96
10450.0 0.96
10460.0 0.96
10470.0 0.96
10480.0 0.96
10490.0 0.96
10500.0 0.96
10510.0 0.96
10520.0 0.96
10530.0 0.96
10540.0 0.96
10550.0 0.96
10560.0 0.96
10570.0 0.96
10580.0 0.96
10590.0 0.96
10600.0 0.96
10610.0 0.96
10620.0 0.96
10630.0 0.96
10640.0 0.96
10650.0 0.96
10660.0 0.96
10670.0 0.96
10680.0 0.96
10690.0 0.96
10700.0 0.96
10710.0 0.96
10720.0 0.96
10730.0 0.96
10740.0 0.96
10750.0 0.96
10760.0 0.96
10770.0 0.96
10780.0 0.96
10790.0 0.96
10800.0 0.96
10810.0 0.96
10820.0 0.96
10830.0 0.96
10840.0 0.96
10850.0 0.96
10860.0 0.96
10870.0 0.96
10880.0 0.96
10890.0 0.96
10900.0 0.96
10910.0 0.96
10920.0 0.96
10930.0 0.96
10940.0 0.96
10950.0 0.96
10960.0 0.96
10970.0 0.96
10980.0 0.96
10990.0 0.96
11000.0 0.96
11010.0 0.96
11020.0 0.96
11030.0 0.96
11040.0 0.96
11050.0 0.96
11060.0 0.96
11070.0 0.96
11080.0 0.96
11090.0 0.96
11100.0 0.96
11110.0 0.96
11120.0 0.96
11130.0 0.96
11140.0 0.96
11150.0 0.96
11160.0 0.96
11170.0 0.96
11180.0 0.96
11190.0 0.96
11200.0 0.96
11210.0 0.96
11220.0 0.96
11230.0 0.96
11240.0 0.96
11250.0 0.96
11260.0 0.96
11270.0 0.96
11280.0 0.96
11290.0 0.96
11300.0 0.96
11310.0 0.96
11320.0 0.96
11330.0 0.96
11340.0 0.96
11350.0 0.96
11360.0 0.96
11370.0 0.96
11380.0 0.96
11390.0 0.96
11400.0 0.96
11410.0 0.96
11420.0 0.96
11430.0 0.96
11440.0 0.96
11450.0 0.96
11460.0 0.96
11470.0 0.96
11480.0 0.96
11490.0 0.96
11500.0 0.96
11510.0 0.96
11520.0 0.96
11530.0 0.96
11540.0 0.96
11550.0 0.96
11560.0 0.96
11570.0 0.96
11580.0 0.96
11590.0 0.96
11600.0 0.96
11610.0 0.96
11620.0 0.96
11630.0 0.96
11640.0 0.96
11650.0 0.96
11660.0 0.96
11670.0 0.96
11680.0 0.96
11690.0 0.96
11700.0 0.96
11710.0 0.96
11720.0 0.96
11730.0 0.96
11740.0 0.96
11750.0 0.96
11760.0 0.96
11770.0 0.96
11780.0 0.96
11790.0 0.96
11800.0 0.96
11810.0 0.96
11820.0 0.96
11830.0 0.96
11840.0 0.96
11850.0 0.96
11860.0 0.96
11870.0 0.96
11880.0 0.96
11890.0 0.96
11900.0 0.96
11910.0 0.96
11920.0 0.96
11930.0 0.96
11940.0 0.96
11950.0 0.96
11960.0 0.96
11970.0 0.96
11980.0 0.96
11990.0 0.96
12000.0 0.96
12010.0 0.96
12020.0 0.96
12030.0 0.96
12040.0 0.96
12050.0 0.96
12060.0 0.96
12070.0 0.96
12080.0 0.96
12090.0 0.96
12100.0 0.96
12110.0 0.96
12120.0 0.96
12130.0 0.96
12140.0 0.96
12150.0 0.96
12160.0 0.96
12170.0 0.96
12180.0 0.96
12190.0 0.96
12200.0 0.96
12210.0 0.96
12220.0 0.96
12230.0 0.96
12240.0 0.96
12250.0 0.96
12260.0 0.96
12270.0 0.96
12280.0 0.96
12290.0 0.96
12300.0 0.96
12310.0 0.96
12320.0 0.96
12330.0 0.96
12340.0 0.96
12350.0 0.96
12360.0 0.96
12370.0 0.96
12380.0 0.96
12390.0 0.96
12400.0 0.96
12410.0 0.96
12420.0 0.96
12430.0 0.96
12440.0 0.96
12450.0 0.96
12460.0 0.96
12470.0 0.96
12480.0 0.96
12490.0 0.96
12500.0 0.96
12510.0 0.96
12520.0 0.96
12530.0 0.96
12540.0 0.96
12550.0 0.96
12560.0 0.96
12570.0 0.96
12580.0 0.96
12590.0 0.96
12600.0 0.96
12610.0 0.96
12620.0 0.96
12630.0 0.96
12640.0 0.96
12650.0 0.96
12660.0 0.96
12670.0 0.96
12680.0 0.96
12690.0 0.96
12700.0 0.96
12710.0 0.96
12720.0 0.96
12730.0 0.96
12740.0 0.96
12750.0 0.96
12760.0 0.96
12770.0 0.96
12780.0 0.96
12790.0 0.96
12800.0 0.96
12810.0 0.96
12820.0 0.96
12830.0 0.96
12840.0 0.96
12850.0 0.96
12860.0 0.96
12870.0 0.96
12880.0 0.96
12890.0 0.96
12900.0 0.96
12910.0 0.96
12920.0 0.96
12930.0 0.96
12940.0 0.96
12950.0 0.96
12960.0 0.96
12970.0 0.96
12980.0 0.96
12990.0 0.96
13000.0 0.96
13010.0 0.96
13020.0 0.96
13030.0 0.96
13040.0 0.96
13050.0 0.96
13060.0 0.96
13070.0 0.96
13080.0 0.96
13090.0 0.96
13100.0 0.96
13110.0 0.96
13120.0 0.96
13130.0 0.96
13140.0 0.96
13150.0 0.96
13160.0 0.96
13170.0 0.96
13180.0 0.96
13190.0 0.96
13200.0 0.96
13210.0 0.96
13220.0 0.96
13230.0 0.96
13240.0 0.96
13250.0 0.96
13260.0 0.96
13270.0 0.96
13280.0 0.96
13290.0 0.96
13300.0 0.96
13310.0 0.96
13320.0 0.96
13330.0 0.96
13340.0 0.96
13350.0 0.96
13360.0 0.96
13370.0 0.96
13380.0 0.96
13390.0 0.96
13400.0 0.96
13410.0 0.96
13420.0 0.96
13430.0 0.96
13440.0 0.96
13450.0 0.96
13460.0 0.96
13470.0 0.96
13480.0 0.96
13490.0 0.96
13500.0 0.96
13510.0 0.96
13520.0 0.96
13530.0 0.96
13540.0 0.96
13550.0 0.96
13560.0 0.96
13570.0 0.96
13580.0 0.96
13590.0 0.96
13600.0 0.96
13610.0 0.96
13620.0 0.96
13630.0 0.96
13640.0 0.96
13650.0 0.96
13660.0 0.96
13670.0 0.96
13680.0 0.96
13690.0 0.96
13700.0 0.96
13710.0 0.96
13720.0 0.96
13730.0 0.96
13740.0 0.96
13750.0 0.96
13760.0 0.96
13770.0 0.96
13780.0 0.96
13790.0 0.96
13800.0 0.96
13810.0 0.96
13820.0 0.96
13830.0 0.96
13840.0 0.96
13850.0 0.96
13860.0 0.96
13870.0 0.96
13880.0 0.96
13890.0 0.96
13900.0 0.96
13910.0 0.96
13920.0 0.96
13930.0 0.96
13940.0 0.96
13950.0 0.96
13960.0 0.96
13970.0 0.96
13980.0 0.96
13990.0 0.96
14000.0 0.96
14010.0 0.96
14020.0 0.96
14030.0 0.96
14040.0 0.96
14050.0 0.96
14060.0 0.96
14070.0 0.96
14080.0 0.96
14090.0 0.96
14100.0 0.96
14110.0 0.96
14120.0 0.96
14130.0 0.96
14140.0 0.96
14150.0 0.96
14160.0 0.96
14170.0 0.96
14180.0 0.96
14190.0 0.96
14200.0 0.96
14210.0 0.96
14220.0 0.96
14230.0 0.96
14240.0 0.96
14250.0 0.96
14260.0 0.96
14270.0 0.96
14280.0 0.96
14290.0 0.96
14300.0 0.96
14310.0 0.96
14320.0 0.96
14330.0 0.96
14340.0 0.96
14350.0 0.96
14360.0 0.96
14370.0 0.96
14380.0 0.96
14390.0 0.96
14400.0 0.96
14410.0 0.96
14420.0 0.96
14430.0 0.96
14440.0 0.96
14450.0 0.96
14460.0 0.96
14470.0 0.96
14480.0 0.96
14490.0 0.96
14500.0 0.96
14510.0 0.96
14520.0 0.96
14530.0 0.96
14540.0 0.96
14550.0 0.96
14560.0 0.96
14570.0 0.96
14580.0 0.96
14590.0 0.96
14600.0 0.96
14610.0 0.96
14620.0 0.96
14630.0 0.96
14640.0 0.96
14650.0 0.96
14660.0 0.96
14670.0 0.96
14680.0 0.96
14690.0 0.96
14700.0 0.96
14710.0 0.96
14720.0 0.96
14730.0 0.96
14740.0 0.96
14750.0 0.96
14760.0 0.96
14770.0 0.96
14780.0 0.96
14790.0 0.96
14800.0 0.96
14810.0 0.96
14820.0 0.96
14830.0 0.96
14840.0 0.96
14850.0 0.96
14860.0 0.96
14870.0 0.96
14880.0 0.96
14890.0 0.96
14900.0 0.96
14910.0 0.96
14920.0 0.96
14930.0 0.96
14940.0 0.96
14950.0 0.96
14960.0 0.96
14970.0 0.96
14980.0 0.96
14990.0 0.96
15000.0 0.96
15010.0 0.96
15020.0 0.96
15030.0 0.96
15040.0 0.96
15050.0 0.96
15060.0 0.96
15070.0 0.96
15080.0 0.96
15090.0 0.96
15100.0 0.96
15110.0 0.96
15120.0 0.96
15130.0 0.96
15140.0 0.96
15150.0 0.96
15160.0 0.96
15170.0 0.96
15180.0 0.96
15190.0 0.96
15200.0 0.96
15210.0 0.96
15220.0 0.96
15230.0 0.96
15240.0 0.96
15250.0 0.96
15260.0 0.96
15270.0 0.96
15280.0 0.96
15290.0 0.96
15300.0 0.96
15310.0 0.96
15320.0 0.96
15330.0 0.96
15340.0 0.96
15350.0 0.96
15360.0 0.96
