wav,resol,
0.737073,5419.97,
0.750406,5535.52,
0.765120,5643.38,
0.780756,5732.00,
0.795930,5832.16,
0.810644,5936.17,
0.824438,6047.88,
0.836850,6171.12,
0.850183,6286.67,
0.863976,6402.23,
0.878230,6510.08,
0.892945,6606.40,
