lamA thr_arm1 thr_arm2 thr_arm3 thr_arm4
3500.0 0.0 0.0 0.0 0.0
3510.0 0.0 0.0 0.0 0.0
3520.0 0.0 0.0 0.0 0.0
3530.0 0.0 0.0 0.0 0.0
3540.0 0.0 0.0 0.0 0.0
3550.0 0.0 0.0 0.0 0.0
3560.0 0.0 0.0 0.0 0.0
3570.0 0.0 0.0 0.0 0.0
3580.0 0.0 0.0 0.0 0.0
3590.0 0.0 0.0 0.0 0.0
3600.0 0.0 0.0 0.0 0.0
3610.0 0.0 0.0 0.0 0.0
3620.0 0.0 0.0 0.0 0.0
3630.0 0.0 0.0 0.0 0.0
3640.0 0.0 0.0 0.0 0.0
3650.0 0.0 0.0 0.0 0.0
3660.0 0.0 0.0 0.0 0.0
3670.0 0.0 0.0 0.0 0.0
3680.0 0.0 0.0 0.0 0.0
3690.0 0.0 0.0 0.0 0.0
3700.0 0.0 0.0 0.0 0.0
3710.0 0.0 0.0 0.0 0.0
3720.0 0.0 0.0 0.0 0.0
3730.0 0.0 0.0 0.0 0.0
3740.0 0.0 0.0 0.0 0.0
3750.0 0.0 0.0 0.0 0.0
3760.0 0.0 0.0 0.0 0.0
3770.0 0.0 0.0 0.0 0.0
3780.0 0.0 0.0 0.0 0.0
3790.0 0.0 0.0 0.0 0.0
3800.0 0.0 0.0 0.0 0.0
3810.0 0.0 0.0 0.0 0.0
3820.0 0.0 0.0 0.0 0.0
3830.0 0.0 0.0 0.0 0.0
3840.0 0.0 0.0 0.0 0.0
3850.0 0.0 0.0 0.0 0.0
3860.0 0.0 0.0 0.0 0.0
3870.0 0.0 0.0 0.0 0.0
3880.0 0.0 0.0 0.0 0.0
3890.0 0.0 0.0 0.0 0.0
3900.0 0.0 0.0 0.0 0.0
3910.0 0.35600545024 0.0 0.0 0.0
3920.0 0.36264327434666666 0.0 0.0 0.0
3930.0 0.36928109845333335 0.0 0.0 0.0
3940.0 0.37591892256000004 0.0 0.0 0.0
3950.0 0.38255674666666667 0.0 0.0 0.0
3960.0 0.3891945707733333 0.0 0.0 0.0
3970.0 0.39583239488 0.0 0.0 0.0
3980.0 0.40247021898666663 0.0 0.0 0.0
3990.0 0.4091080430933334 0.0 0.0 0.0
4000.0 0.4157458672 0.0 0.0 0.0
4010.0 0.41736648224000006 0.0 0.0 0.0
4020.0 0.41898709728 0.0 0.0 0.0
4030.0 0.42060771232000005 0.0 0.0 0.0
4040.0 0.42222832736 0.0 0.0 0.0
4050.0 0.42384894240000004 0.0 0.0 0.0
4060.0 0.42546955744 0.0 0.0 0.0
4070.0 0.42709017248000003 0.0 0.0 0.0
4080.0 0.42871078752 0.0 0.0 0.0
4090.0 0.43033140256 0.0 0.0 0.0
4100.0 0.4319520176 0.0 0.0 0.0
4110.0 0.43357263264 0.0 0.0 0.0
4120.0 0.43519324768 0.0 0.0 0.0
4130.0 0.43681386272 0.0 0.0 0.0
4140.0 0.43843447776 0.0 0.0 0.0
4150.0 0.4400550928 0.0 0.0 0.0
4160.0 0.44167570784 0.0 0.0 0.0
4170.0 0.44329632288000004 0.0 0.0 0.0
4180.0 0.44491693792 0.0 0.0 0.0
4190.0 0.44653755296000003 0.0 0.0 0.0
4200.0 0.44815816799999997 0.0 0.0 0.0
4210.0 0.44977878304 0.0 0.0 0.0
4220.0 0.45139939807999996 0.0 0.0 0.0
4230.0 0.45302001312 0.0 0.0 0.0
4240.0 0.45464062815999995 0.0 0.0 0.0
4250.0 0.4562612432 0.0 0.0 0.0
4260.0 0.45788185824000005 0.0 0.0 0.0
4270.0 0.45950247328 0.0 0.0 0.0
4280.0 0.46112308832000004 0.0 0.0 0.0
4290.0 0.46274370336 0.0 0.0 0.0
4300.0 0.46436431840000003 0.0 0.0 0.0
4310.0 0.46598493343999997 0.0 0.0 0.0
4320.0 0.46760554848 0.0 0.0 0.0
4330.0 0.46922616351999996 0.0 0.0 0.0
4340.0 0.47084677856 0.0 0.0 0.0
4350.0 0.47246739360000006 0.0 0.0 0.0
4360.0 0.47408800864 0.0 0.0 0.0
4370.0 0.47570862368000005 0.0 0.0 0.0
4380.0 0.47732923872 0.0 0.0 0.0
4390.0 0.47894985376000004 0.0 0.0 0.0
4400.0 0.4805704688000001 0.0 0.0 0.0
4410.0 0.48219108384000003 0.0 0.0 0.0
4420.0 0.4838116988800001 0.0 0.0 0.0
4430.0 0.48543231392 0.0 0.0 0.0
4440.0 0.4870529289600001 0.0 0.0 0.0
4450.0 0.488673544 0.0 0.0 0.0
4460.0 0.49029415904000007 0.0 0.0 0.0
4470.0 0.49191477408 0.0 0.0 0.0
4480.0 0.49353538912000006 0.0 0.0 0.0
4490.0 0.49515600416000005 0.0 0.0 0.0
4500.0 0.49677661920000005 0.0 0.0 0.0
4510.0 0.4939237408800001 0.0 0.0 0.0
4520.0 0.49107086256 0.0 0.0 0.0
4530.0 0.48821798424000007 0.0 0.0 0.0
4540.0 0.48536510592 0.0 0.0 0.0
4550.0 0.4825122276 0.0 0.0 0.0
4560.0 0.47965934928 0.0 0.0 0.0
4570.0 0.47680647096 0.0 0.0 0.0
