wav,resol,
1.45803,5420.28,
1.47459,5485.81,
1.49253,5555.20,
1.51000,5620.73,
1.52794,5682.42,
1.54588,5744.11,
1.56382,5798.10,
1.58176,5840.55,
1.60062,5879.15,
1.61948,5940.84,
1.63604,6006.37,
1.65305,6083.46,
1.67007,6160.54,
1.68663,6245.31,
1.70272,6330.09,
1.71882,6407.16,
1.73676,6472.70,
1.75469,6530.54,
1.77263,6588.38,
