wav,throughput,
471.985,41.8602,
472.994,45.1212,
473.977,50.5917,
474.968,57.1104,
475.968,63.8275,
476.969,69.0714,
477.961,72.5873,
478.944,76.0748,
479.954,80.2990,
480.955,83.8149,
481.930,85.5743,
482.924,84.2743,
483.927,80.8497,
484.921,76.1219,
485.925,71.3376,
486.928,66.6098,
487.914,62.4203,
488.908,58.6274,
