wav,thr
400,0.
450,0.203557726
500,0.242217935
550,0.497115573
600,0.703334317
650,0.757858184
700,0.767584072
750,0.779173676
800,0.79689468
850,0.808241114
900,0.776948704
950,0.612788106
1000,0.344061556
1050,0.065726508
1100,0.
